cls_token	torch.Size([1, 1, 768])
mlp_head.0.bias	torch.Size([768])
mlp_head.0.weight	torch.Size([768])
transformer.layers.0.0.fn.norm.bias	torch.Size([768])
transformer.layers.0.0.fn.norm.weight	torch.Size([768])
transformer.layers.0.1.fn.norm.bias	torch.Size([768])
transformer.layers.0.1.fn.norm.weight	torch.Size([768])
transformer.layers.0.1.fn.fn.net.0.bias	torch.Size([3072])
transformer.layers.0.1.fn.fn.net.0.weight	torch.Size([3072, 768])
transformer.layers.0.1.fn.fn.net.3.bias	torch.Size([768])
transformer.layers.0.1.fn.fn.net.3.weight	torch.Size([768, 3072])
transformer.layers.0.0.fn.fn.to_out.0.bias	torch.Size([768])
transformer.layers.0.0.fn.fn.to_out.0.weight	torch.Size([768, 768])
transformer.layers.0.0.fn.fn.to_qkv.bias	torch.Size([2304])
transformer.layers.0.0.fn.fn.to_qkv.weight	torch.Size([2304, 768])
transformer.layers.1.0.fn.norm.bias	torch.Size([768])
transformer.layers.1.0.fn.norm.weight	torch.Size([768])
transformer.layers.1.1.fn.norm.bias	torch.Size([768])
transformer.layers.1.1.fn.norm.weight	torch.Size([768])
transformer.layers.1.1.fn.fn.net.0.bias	torch.Size([3072])
transformer.layers.1.1.fn.fn.net.0.weight	torch.Size([3072, 768])
transformer.layers.1.1.fn.fn.net.3.bias	torch.Size([768])
transformer.layers.1.1.fn.fn.net.3.weight	torch.Size([768, 3072])
transformer.layers.1.0.fn.fn.to_out.0.bias	torch.Size([768])
transformer.layers.1.0.fn.fn.to_out.0.weight	torch.Size([768, 768])
transformer.layers.1.0.fn.fn.to_qkv.bias	torch.Size([2304])
transformer.layers.1.0.fn.fn.to_qkv.weight	torch.Size([2304, 768])
transformer.layers.10.0.fn.norm.bias	torch.Size([768])
transformer.layers.10.0.fn.norm.weight	torch.Size([768])
transformer.layers.10.1.fn.norm.bias	torch.Size([768])
transformer.layers.10.1.fn.norm.weight	torch.Size([768])
transformer.layers.10.1.fn.fn.net.0.bias	torch.Size([3072])
transformer.layers.10.1.fn.fn.net.0.weight	torch.Size([3072, 768])
transformer.layers.10.1.fn.fn.net.3.bias	torch.Size([768])
transformer.layers.10.1.fn.fn.net.3.weight	torch.Size([768, 3072])
transformer.layers.10.0.fn.fn.to_out.0.bias	torch.Size([768])
transformer.layers.10.0.fn.fn.to_out.0.weight	torch.Size([768, 768])
transformer.layers.10.0.fn.fn.to_qkv.bias	torch.Size([2304])
transformer.layers.10.0.fn.fn.to_qkv.weight	torch.Size([2304, 768])
transformer.layers.11.0.fn.norm.bias	torch.Size([768])
transformer.layers.11.0.fn.norm.weight	torch.Size([768])
transformer.layers.11.1.fn.norm.bias	torch.Size([768])
transformer.layers.11.1.fn.norm.weight	torch.Size([768])
transformer.layers.11.1.fn.fn.net.0.bias	torch.Size([3072])
transformer.layers.11.1.fn.fn.net.0.weight	torch.Size([3072, 768])
transformer.layers.11.1.fn.fn.net.3.bias	torch.Size([768])
